timestamp,out.electricity.total.energy_consumption,out.natural_gas.heating.energy_consumption,hp_added_load,total_load_after
2018-03-13 06:00:00,0.2853290467288463,3.892826464723512,1.297608821574504,1.5829378683033504
2018-03-13 06:15:00,0.3177494013561017,3.88460152918898,1.2948671763963266,1.6126165777524284
2018-03-13 06:30:00,0.3177494013561017,3.336556192537884,1.1121853975126281,1.4299347988687299
2018-03-13 06:45:00,0.3177494013561017,2.2445267633790422,0.7481755877930141,1.0659249891491158
2018-03-13 07:00:00,0.3177494013561017,3.8423266632435484,1.280775554414516,1.5985249557706178
2018-03-13 07:15:00,0.3221245205454364,3.331985831194094,1.1106619437313647,1.4327864642768011
2018-03-13 07:30:00,0.4285285378811092,3.375884551525322,1.1252948505084406,1.5538233883895498
2018-03-13 07:45:00,0.4285285378811092,2.5385055445172546,0.8461685148390848,1.274697052720194
2018-03-13 08:00:00,0.4285285378811092,2.579903717359815,0.859967905786605,1.2884964436677142
2018-03-13 08:15:00,0.4275724108585161,2.7468690693838638,0.9156230231279546,1.3431954339864707
2018-03-13 08:30:00,0.4275724108585161,1.6900569761378272,0.5633523253792757,0.9909247362377918
2018-03-13 08:45:00,0.4275724108585161,2.4143869119515498,0.8047956373171833,1.2323680481756993
2018-03-13 09:00:00,0.4846995029801372,2.2275438797566376,0.7425146265855459,1.227214129565683
2018-03-13 09:15:00,0.5643131084367333,0.5293360443014572,0.17644534810048573,0.7407584565372191
2018-03-13 09:30:00,0.5643131084367333,0.9035414109055542,0.3011804703018514,0.8654935787385847
2018-03-13 09:45:00,0.4976648342948419,1.7802225147163475,0.5934075049054491,1.091072339200291
2018-03-13 10:00:00,0.4214953781326802,1.7089942415600763,0.5696647471866921,0.9911601253193723
2018-03-13 10:15:00,0.4190986083067977,1.6078176785825746,0.5359392261941915,0.9550378345009892
2018-03-13 10:30:00,0.7020687179935624,1.4834005596005788,0.49446685320019296,1.1965355711937553
2018-03-13 10:45:00,2.541374430957533,1.2613196307531316,0.4204398769177105,2.9618143078752435
2018-03-13 11:00:00,2.541374430957533,1.156122258691478,0.3853740862304927,2.9267485171880256
2018-03-13 11:15:00,2.5428826867273875,0.9859674467714651,0.32865581559048834,2.871538502317876
2018-03-13 11:30:00,2.5428826867273875,0.9940585422542657,0.33135284741808857,2.874235534145476
2018-03-13 11:45:00,0.3178715367060917,1.1492939618492073,0.3830979872830691,0.7009695239891608
2018-03-13 12:00:00,0.3178715367060917,1.1304460661970561,0.3768153553990187,0.6946868921051104
2018-03-13 12:15:00,0.3179816756702525,0.9878577449548064,0.3292859149849355,0.6472675906551879
2018-03-13 12:30:00,0.3179816756702525,1.0161304181504904,0.3387101393834968,0.6566918150537493
2018-03-13 12:45:00,0.3179816756702525,0.9549043799424711,0.3183014599808237,0.6362831356510762
2018-03-13 13:00:00,0.3179816756702525,0.893967369014207,0.2979891230047357,0.6159707986749882
2018-03-13 13:15:00,0.3165157906835643,0.8263513722608585,0.2754504574202862,0.5919662481038505
2018-03-13 13:30:00,0.3165157906835643,0.7641392459419853,0.2547130819806618,0.5712288726642261
